date,pre_close,open,high,low,close,volume,amt,ptmtradeday,ptmday,delta,gamma,vega,theta,rho,us_impliedvol,exe_price,maint_margin,exe_ratio,wind_code,trade_coe,sec_name,option_mark_code,option_type,call_or_put,exercise_mode,exercise_price,contract_unit,limit_month,listed_date,expire_date,exercise_date,settlement_date,reference_price,settle_mode,contract_state
2015/2/9 0:00,0,0.1529,0.1671,0.1386,0.146,1250,1942674,28,45,0.628724684,1.039000877,0.003059163,-0.609685956,0.001536075,0.29917124,2.25,4258.2,10000,10000002,510050C1503M02250,50ETF购2015年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,Mar-15,2015/2/9 0:00,2015/3/25 0:00,2015/3/25,2015/3/26,0.1528,实物资产,退市
2015/2/10 0:00,0.146,0.1496,0.178,0.1482,0.1659,392,646571,27,44,0.668051489,0.992222083,0.002951619,-0.605958785,0.001611836,0.279179456,2.25,4528.8,10000,10000002,510050C1503M02250,50ETF购2015年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,Mar-15,2015/2/9 0:00,2015/3/25 0:00,2015/3/25,2015/3/26,0.1528,实物资产,退市
2015/2/11 0:00,0.1659,0.1696,0.1798,0.1592,0.1702,579,999704,26,43,0.680022025,0.984774606,0.002887044,-0.607499362,0.001609021,0.267902039,2.25,4558,10000,10000002,510050C1503M02250,50ETF购2015年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,Mar-15,2015/2/9 0:00,2015/3/25 0:00,2015/3/25,2015/3/26,0.1528,实物资产,退市
2015/2/12 0:00,0.1702,0.1683,0.1724,0.154,0.169,774,1281323,25,42,0.685166938,0.988445736,0.002837737,-0.611624004,0.001586393,0.254208032,2.25,4550.8,10000,10000002,510050C1503M02250,50ETF购2015年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,Mar-15,2015/2/9 0:00,2015/3/25 0:00,2015/3/25,2015/3/26,0.1528,实物资产,退市
2015/2/13 0:00,0.169,0.1695,0.1982,0.1677,0.1677,1276,2289036,24,41,0.692793334,0.990855121,0.002780225,-0.612785249,0.001569939,0.231287048,2.25,4545,10000,10000002,510050C1503M02250,50ETF购2015年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,Mar-15,2015/2/9 0:00,2015/3/25 0:00,2015/3/25,2015/3/26,0.1528,实物资产,退市
2015/2/16 0:00,0.1677,0.1696,0.1764,0.1617,0.1723,243,409593,23,38,0.701767339,1.019078017,0.002643073,-0.626947435,0.001479626,0.249228394,2.25,4595.8,10000,10000002,510050C1503M02250,50ETF购2015年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,Mar-15,2015/2/9 0:00,2015/3/25 0:00,2015/3/25,2015/3/26,0.1528,实物资产,退市
2015/2/17 0:00,0.1723,0.1779,0.197,0.1775,0.183,245,464532,22,37,0.720776831,0.995768762,0.002545427,-0.62148862,0.001486537,0.236632837,2.25,4723.2,10000,10000002,510050C1503M02250,50ETF购2015年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,Mar-15,2015/2/9 0:00,2015/3/25 0:00,2015/3/25,2015/3/26,0.1528,实物资产,退市
2015/2/25 0:00,0.183,0.1788,0.1788,0.1419,0.1454,587,930391,21,29,0.691251683,1.197051877,0.002311714,-0.71933603,0.001112884,0.252304053,2.25,4311,10000,10000002,510050C1503M02250,50ETF购2015年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,Mar-15,2015/2/9 0:00,2015/3/25 0:00,2015/3/25,2015/3/26,0.1528,实物资产,退市
2015/2/26 0:00,0.1454,0.1415,0.2112,0.132,0.2112,268,476769,20,28,0.780930908,0.985067089,0.001968216,-0.649290017,0.001234041,0.237511597,2.25,5052,10000,10000002,510050C1503M02250,50ETF购2015年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,Mar-15,2015/2/9 0:00,2015/3/25 0:00,2015/3/25,2015/3/26,0.1528,实物资产,退市
2015/2/27 0:00,0.2112,0.2144,0.2251,0.1949,0.208,336,722105,19,27,0.772592755,1.032322208,0.00196327,-0.66921117,0.001175213,0.302539819,2.25,5005.6,10000,10000002,510050C1503M02250,50ETF购2015年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,Mar-15,2015/2/9 0:00,2015/3/25 0:00,2015/3/25,2015/3/26,0.1528,实物资产,退市
2015/3/2 0:00,0.208,0.2142,0.2235,0.1998,0.201,280,588078,18,24,0.786981271,1.055847226,0.001780782,-0.686263083,0.001065234,0.243516455,2.25,4952.2,10000,10000002,510050C1503M02250,50ETF购2015年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,Mar-15,2015/2/9 0:00,2015/3/25 0:00,2015/3/25,2015/3/26,0.1528,实物资产,退市
2015/3/3 0:00,0.201,0.1952,0.1952,0.1374,0.1374,251,409415,17,23,0.697001508,1.326222094,0.002026989,-0.807732801,0.000889426,0.270318628,2.25,4212.8,10000,10000002,510050C1503M02250,50ETF购2015年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,Mar-15,2015/2/9 0:00,2015/3/25 0:00,2015/3/25,2015/3/26,0.1528,实物资产,退市
2015/3/4 0:00,0.1374,0.1421,0.1525,0.1245,0.136,228,317223,16,22,0.697628701,1.36003738,0.001976874,-0.822789696,0.000851242,0.278666846,2.25,4182.4,10000,10000002,510050C1503M02250,50ETF购2015年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,Mar-15,2015/2/9 0:00,2015/3/25 0:00,2015/3/25,2015/3/26,0.1528,实物资产,退市
2015/3/5 0:00,0.136,0.1305,0.1305,0.0653,0.11,744,836070,15,21,0.661442078,1.487415101,0.00199861,-0.863598944,0.000765705,0.259187671,2.25,3886.8,10000,10000002,510050C1503M02250,50ETF购2015年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,Mar-15,2015/2/9 0:00,2015/3/25 0:00,2015/3/25,2015/3/26,0.1528,实物资产,退市
2015/3/6 0:00,0.11,0.111,0.1259,0.11,0.1148,359,422621,14,20,0.671682661,1.504426297,0.001928654,-0.877453955,0.000741113,0.272954907,2.25,3954.8,10000,10000002,510050C1503M02250,50ETF购2015年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,Mar-15,2015/2/9 0:00,2015/3/25 0:00,2015/3/25,2015/3/26,0.1528,实物资产,退市
2015/3/9 0:00,0.1148,0.1096,0.1625,0.079,0.1543,1141,1278713,13,17,0.772397274,1.365080271,0.001514948,-0.812848446,0.000732433,0.2250625,2.25,4419.4,10000,10000002,510050C1503M02250,50ETF购2015年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,Mar-15,2015/2/9 0:00,2015/3/25 0:00,2015/3/25,2015/3/26,0.1528,实物资产,退市
2015/3/10 0:00,0.1543,0.1518,0.1518,0.1187,0.1235,722,962808,12,16,0.721288824,1.588259707,0.001606194,-0.911959187,0.000637591,0.259480591,2.25,4070.8,10000,10000002,510050C1503M02250,50ETF购2015年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,Mar-15,2015/2/9 0:00,2015/3/25 0:00,2015/3/25,2015/3/26,0.1528,实物资产,退市
2015/3/11 0:00,0.1235,0.1277,0.1615,0.126,0.1297,633,905982,11,15,0.760085459,1.589087941,0.001445098,-0.842957731,0.000632491,0.196063428,2.25,4154.8,10000,10000002,510050C1503M02250,50ETF购2015年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,Mar-15,2015/2/9 0:00,2015/3/25 0:00,2015/3/25,2015/3/26,0.1528,实物资产,退市
2015/3/12 0:00,0.1297,0.1378,0.2208,0.1378,0.2029,697,1297266,10,14,0.865664985,1.103062951,0.000999681,-0.653984814,0.000678467,0.273101367,2.25,4922.6,10000,10000002,510050C1503M02250,50ETF购2015年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,Mar-15,2015/2/9 0:00,2015/3/25 0:00,2015/3/25,2015/3/26,0.1528,实物资产,退市
2015/3/13 0:00,0.2029,0.2056,0.24,0.1913,0.2008,292,642811,9,13,0.88825806,1.036091838,0.000846494,-0.591557937,0.000645411,0,2.25,5040,10000,10000002,510050C1503M02250,50ETF购2015年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,Mar-15,2015/2/9 0:00,2015/3/25 0:00,2015/3/25,2015/3/26,0.1528,实物资产,退市
2015/3/16 0:00,0.2008,0.2187,0.2599,0.2074,0.2598,420,974126,8,10,0.965388266,0.494795258,0.000301775,-0.307065513,0.000532416,0,2.25,5636,10000,10000002,510050C1503M02250,50ETF购2015年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,Mar-15,2015/2/9 0:00,2015/3/25 0:00,2015/3/25,2015/3/26,0.1528,实物资产,退市
2015/3/17 0:00,0.2598,0.2741,0.295,0.2651,0.2826,290,817399,7,9,0.984927987,0.259891802,0.000143164,-0.195731638,0.000484239,0,2.25,6002.6,10000,10000002,510050C1503M02250,50ETF购2015年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,Mar-15,2015/2/9 0:00,2015/3/25 0:00,2015/3/25,2015/3/26,0.1528,实物资产,退市
2015/3/18 0:00,0.2826,0.3054,0.3588,0.3031,0.3588,276,903120,6,8,0.997532322,0.054748266,2.77E-05,-0.097613782,0.000429994,0,2.25,6764.2,10000,10000002,510050C1503M02250,50ETF购2015年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,Mar-15,2015/2/9 0:00,2015/3/25 0:00,2015/3/25,2015/3/26,0.1528,实物资产,退市
2015/3/19 0:00,0.3588,0.3551,0.3551,0.33,0.33,95,324009,5,7,0.99774063,0.055000947,2.35E-05,-0.097244638,0.0003687,0,2.25,6489.4,10000,10000002,510050C1503M02250,50ETF购2015年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,Mar-15,2015/2/9 0:00,2015/3/25 0:00,2015/3/25,2015/3/26,0.1528,实物资产,退市
2015/3/20 0:00,0.33,0.35,0.4067,0.3306,0.3769,261,989560,4,6,0.999765291,0.00732574,2.71E-06,-0.073602617,0.000308003,0,2.25,7026,10000,10000002,510050C1503M02250,50ETF购2015年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,Mar-15,2015/2/9 0:00,2015/3/25 0:00,2015/3/25,2015/3/26,0.1528,实物资产,退市
2015/3/23 0:00,0.3769,0.4072,0.431,0.3998,0.4139,62,255775,3,3,1,3.03E-08,4.54E-12,-0.069810144,0.000123267,0,2.25,7476.2,10000,10000002,510050C1503M02250,50ETF购2015年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,Mar-15,2015/2/9 0:00,2015/3/25 0:00,2015/3/25,2015/3/26,0.1528,实物资产,退市
2015/3/24 0:00,0.4139,0.4202,0.4204,0.3787,0.3835,105,423685,2,2,1,6.27E-14,4.52E-18,-0.069813814,6.16E-05,0,2.25,7071.6,10000,10000002,510050C1503M02250,50ETF购2015年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,Mar-15,2015/2/9 0:00,2015/3/25 0:00,2015/3/25,2015/3/26,0.1528,实物资产,退市
2015/3/25 0:00,0.3835,0.388,0.388,0.337,0.356,86,307564,1,1,非数字,非数字,非数字,非数字,非数字,非数字,2.25,6664.8,10000,10000002,510050C1503M02250,50ETF购2015年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,Mar-15,2015/2/9 0:00,2015/3/25 0:00,2015/3/25,2015/3/26,0.1528,实物资产,退市
