date,pre_close,open,high,low,close,volume,amt,ptmtradeday,ptmday,delta,gamma,vega,theta,rho,us_impliedvol,exe_price,maint_margin,exe_ratio,wind_code,trade_coe,sec_name,option_mark_code,option_type,call_or_put,exercise_mode,exercise_price,contract_unit,limit_month,listed_date,expire_date,exercise_date,settlement_date,reference_price,settle_mode,contract_state
2020/3/2 0:00:00,NaN,0.2178,0.282,0.2178,0.2735,370,966792,37,52,0.871,0.854,0.0023,-0.0006,0.0032,0.2168,2.65,6186.8,10000,10002370,510050C2004M02650,50ETF购2020年4月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2020-04,2020/3/2 0:00:00,2020/4/22 0:00:00,2020-04-22,2020-04-23,0.2097,实物资产,退市,
2020/3/3 0:00:00,0.2735,0.2913,0.3069,0.2765,0.2791,238,697201,36,51,0.8716,0.8258,0.0023,-0.0006,0.0031,0.22,2.65,6269.4,10000,10002370,510050C2004M02650,50ETF购2020年4月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2020-04,2020/3/2 0:00:00,2020/4/22 0:00:00,2020-04-22,2020-04-23,0.2097,实物资产,退市,
2020/3/4 0:00:00,0.2791,0.2777,0.3014,0.2777,0.3014,88,253480,35,50,0.8994,0.6979,0.0019,-0.0006,0.0032,0.2069,2.65,6540.8,10000,10002370,510050C2004M02650,50ETF购2020年4月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2020-04,2020/3/2 0:00:00,2020/4/22 0:00:00,2020-04-22,2020-04-23,0.2097,实物资产,退市,
2020/3/5 0:00:00,0.3014,0.3151,0.3745,0.3151,0.3657,110,386931,34,49,0.9396,0.4697,0.0013,-0.0004,0.0033,0.2192,2.65,7267.8,10000,10002370,510050C2004M02650,50ETF购2020年4月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2020-04,2020/3/2 0:00:00,2020/4/22 0:00:00,2020-04-22,2020-04-23,0.2097,实物资产,退市,
2020/3/6 0:00:00,0.3657,0.3497,0.3497,0.3239,0.3239,55,183171,33,48,0.9086,0.6518,0.0018,-0.0006,0.0031,0.2592,2.65,6775.2,10000,10002370,510050C2004M02650,50ETF购2020年4月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2020-04,2020/3/2 0:00:00,2020/4/22 0:00:00,2020-04-22,2020-04-23,0.2097,实物资产,退市,
2020/3/9 0:00:00,0.3239,0.2874,0.2874,0.2315,0.2444,321,781952,32,45,0.8378,1.0248,0.0025,-0.0008,0.0027,0.2694,2.65,5900.2,10000,10002370,510050C2004M02650,50ETF购2020年4月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2020-04,2020/3/2 0:00:00,2020/4/22 0:00:00,2020-04-22,2020-04-23,0.2097,实物资产,退市,
2020/3/10 0:00:00,0.2444,0.2512,0.3068,0.2385,0.2952,295,817086,31,44,0.8784,0.8102,0.002,-0.0007,0.0027,0.3118,2.65,6445.2,10000,10002370,510050C2004M02650,50ETF购2020年4月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2020-04,2020/3/2 0:00:00,2020/4/22 0:00:00,2020-04-22,2020-04-23,0.2097,实物资产,退市,
2020/3/11 0:00:00,0.2952,0.2912,0.2948,0.2607,0.2607,309,876094,30,43,0.8458,0.9673,0.0023,-0.0008,0.0026,0.2795,2.65,6052.8,10000,10002370,510050C2004M02650,50ETF购2020年4月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2020-04,2020/3/2 0:00:00,2020/4/22 0:00:00,2020-04-22,2020-04-23,0.2097,实物资产,退市,
2020/3/12 0:00:00,0.2607,0.2463,0.2463,0.2198,0.2342,759,1759129,29,42,0.8072,1.1377,0.0026,-0.0009,0.0024,0.3167,2.65,5755.2,10000,10002370,510050C2004M02650,50ETF购2020年4月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2020-04,2020/3/2 0:00:00,2020/4/22 0:00:00,2020-04-22,2020-04-23,0.2097,实物资产,退市,
2020/3/13 0:00:00,0.2342,0.1721,0.2256,0.1602,0.2217,4564,8509558,28,41,0.7592,1.3211,0.0029,-0.001,0.0022,0.3651,2.65,5572.2,10000,10002370,510050C2004M02650,50ETF购2020年4月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2020-04,2020/3/2 0:00:00,2020/4/22 0:00:00,2020-04-22,2020-04-23,0.2097,实物资产,退市,
2020/3/16 0:00:00,0.2217,0.2163,0.2163,0.1445,0.1508,5594,9524740,27,38,0.593,1.7704,0.0034,-0.0012,0.0015,0.3787,2.65,4732.4,10000,10002370,510050C2004M02650,50ETF购2020年4月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2020-04,2020/3/2 0:00:00,2020/4/22 0:00:00,2020-04-22,2020-04-23,0.2097,实物资产,退市,
2020/3/17 0:00:00,0.1508,0.1655,0.2415,0.1293,0.1485,17130,26128192,26,37,0.5701,1.7405,0.0033,-0.0013,0.0014,0.3944,2.65,4695,10000,10002370,510050C2004M02650,50ETF购2020年4月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2020-04,2020/3/2 0:00:00,2020/4/22 0:00:00,2020-04-22,2020-04-23,0.2097,实物资产,退市,
2020/3/18 0:00:00,0.1485,0.1489,0.1577,0.0796,0.0829,26324,30235079,25,36,0.4663,1.8539,0.0033,-0.0012,0.0011,0.2921,2.65,3650.6,10000,10002370,510050C2004M02650,50ETF购2020年4月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2020-04,2020/3/2 0:00:00,2020/4/22 0:00:00,2020-04-22,2020-04-23,0.2097,实物资产,退市,
2020/3/19 0:00:00,0.0829,0.0816,0.1,0.0572,0.0716,58339,43684665,24,35,0.3667,1.7969,0.003,-0.0012,0.0009,0.3336,2.65,2932.8,10000,10002370,510050C2004M02650,50ETF购2020年4月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2020-04,2020/3/2 0:00:00,2020/4/22 0:00:00,2020-04-22,2020-04-23,0.2097,实物资产,退市,
2020/3/20 0:00:00,0.0716,0.0785,0.0894,0.0595,0.0817,68444,49912879,23,34,0.4764,1.8753,0.0032,-0.0013,0.0011,0.2871,2.65,3705.8,10000,10002370,510050C2004M02650,50ETF购2020年4月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2020-04,2020/3/2 0:00:00,2020/4/22 0:00:00,2020-04-22,2020-04-23,0.2097,实物资产,退市,
2020/3/23 0:00:00,0.0817,0.0593,0.0698,0.055,0.0621,56858,34558517,22,31,0.3396,1.8206,0.0027,-0.0012,0.0007,0.3369,2.65,2714.6,10000,10002370,510050C2004M02650,50ETF购2020年4月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2020-04,2020/3/2 0:00:00,2020/4/22 0:00:00,2020-04-22,2020-04-23,0.2097,实物资产,退市,
