,date,pre_close,open,high,low,close,volume,amt,ptmtradeday,ptmday,delta,gamma,vega,theta,rho,us_impliedvol,exe_price,maint_margin,exe_ratio,wind_code,trade_coe,sec_name,option_mark_code,option_type,call_or_put,exercise_mode,exercise_price,contract_unit,limit_month,listed_date,expire_date,exercise_date,settlement_date,reference_price,settle_mode,contract_state
2015/6/9 0:00:00,非数字,0.0942,0.0997,0.0622,0.069,3575,2812036,11,16,0.162392835666442,1.09493593746666,0.00167392798505243,-0.680064182316561,0.000216626468915987,0.569902478027344,3.6,3042.7,10000,10000221,510050C1506M03600,50ETF购2015年6月3.60,510050.SH,ETF期权,认购,0,3.6,10000,2015-06,2015/6/9 0:00:00,2015/6/24 0:00:00,2015-06-24,2015-06-25,0.0799,实物资产,退市,
2015/6/10 0:00:00,0.069,0.0615,0.0659,0.0502,0.053,2307,1331627,10,15,0.110990887005692,0.889542987136526,0.00123051664188183,-0.530955489710081,0.000137072590639394,0.568657568359375,3.6,2854,10000,10000221,510050C1506M03600,50ETF购2015年6月3.60,510050.SH,ETF期权,认购,0,3.6,10000,2015-06,2015/6/9 0:00:00,2015/6/24 0:00:00,2015-06-24,2015-06-25,0.0799,实物资产,退市,
2015/6/11 0:00:00,0.053,0.0539,0.0545,0.0359,0.0396,2462,1015598,9,14,0.0860897300393078,0.769269339546688,0.000978399028006548,-0.455120317514213,9.83774892404051E-05,0.544784594726563,3.6,2706,10000,10000221,510050C1506M03600,50ETF购2015年6月3.60,510050.SH,ETF期权,认购,0,3.6,10000,2015-06,2015/6/9 0:00:00,2015/6/24 0:00:00,2015-06-24,2015-06-25,0.0799,实物资产,退市,
2015/6/12 0:00:00,0.0396,0.0444,0.0474,0.0285,0.0299,1752,637380,8,13,0.0858732981160811,0.80073523140275,0.00094194259371172,-0.471665143373754,9.10534044923578E-05,0.494329138183594,3.6,2618.1,10000,10000221,510050C1506M03600,50ETF购2015年6月3.60,510050.SH,ETF期权,认购,0,3.6,10000,2015-06,2015/6/9 0:00:00,2015/6/24 0:00:00,2015-06-24,2015-06-25,0.0799,实物资产,退市,
2015/6/15 0:00:00,0.0299,0.0304,0.0411,0.0105,0.0119,4500,848538,7,10,0.0167656952593269,0.248028452314663,0.000210395013056857,-0.142780658969003,1.30496753286968E-05,0.533946557617188,3.6,2370.2,10000,10000221,510050C1506M03600,50ETF购2015年6月3.60,510050.SH,ETF期权,认购,0,3.6,10000,2015-06,2015/6/9 0:00:00,2015/6/24 0:00:00,2015-06-24,2015-06-25,0.0799,实物资产,退市,
2015/6/16 0:00:00,0.0119,0.0114,0.0153,0.0072,0.009,3540,424191,6,9,0.0035909400033235,0.0692677763847188,5.01227664697722E-05,-0.0382756994616515,2.44070028418096E-06,0.605615942382812,3.6,2293.6,10000,10000221,510050C1506M03600,50ETF购2015年6月3.60,510050.SH,ETF期权,认购,0,3.6,10000,2015-06,2015/6/9 0:00:00,2015/6/24 0:00:00,2015-06-24,2015-06-25,0.0799,实物资产,退市,
2015/6/17 0:00:00,0.009,0.0105,0.0125,0.0032,0.0048,3094,268876,5,8,0.00347544578903103,0.0714614320362471,4.59197555631997E-05,-0.0399761368737643,2.08681669563256E-06,0.5379009765625,3.6,2270.5,10000,10000221,510050C1506M03600,50ETF购2015年6月3.60,510050.SH,ETF期权,认购,0,3.6,10000,2015-06,2015/6/9 0:00:00,2015/6/24 0:00:00,2015-06-24,2015-06-25,0.0799,实物资产,退市,
2015/6/18 0:00:00,0.0048,0.0039,0.0051,0.0002,0.0014,1076,18404,4,7,7.3683604486674E-05,0.00221619552001523,1.15807281074068E-06,-0.00121381769390728,3.64683137037856E-08,0.6070806640625,3.6,2144.4,10000,10000221,510050C1506M03600,50ETF购2015年6月3.60,510050.SH,ETF期权,认购,0,3.6,10000,2015-06,2015/6/9 0:00:00,2015/6/24 0:00:00,2015-06-24,2015-06-25,0.0799,实物资产,退市,
2015/6/19 0:00:00,0.0014,0.0011,0.0021,0.0002,0.0013,838,8914,3,6,6.32500332109487E-08,2.82865329581083E-06,1.15966808776226E-09,-1.53681935333858E-06,2.4717141109075E-11,0.848466796875,3.6,2020.8,10000,10000221,510050C1506M03600,50ETF购2015年6月3.60,510050.SH,ETF期权,认购,0,3.6,10000,2015-06,2015/6/9 0:00:00,2015/6/24 0:00:00,2015-06-24,2015-06-25,0.0799,实物资产,退市,
2015/6/23 0:00:00,0.0013,0.0001,0.0009,0.0001,0.0009,624,1793,2,2,0,3.90168869746415E-21,3.47599015392343E-25,-2.32913327068022E-21,0,1.5609724609375,3.6,2086.2,10000,10000221,510050C1506M03600,50ETF购2015年6月3.60,510050.SH,ETF期权,认购,0,3.6,10000,2015-06,2015/6/9 0:00:00,2015/6/24 0:00:00,2015-06-24,2015-06-25,0.0799,实物资产,退市,
2015/6/24 0:00:00,0.0009,0.0001,0.0002,0.0001,0.0001,260,262,1,1,0,3.90168869746415E-21,3.47599015392343E-25,-2.32913327068022E-21,0,1.5609724609375,3.6,2086.2,10000,10000221,510050C1506M03600,50ETF购2015年6月3.60,510050.SH,ETF期权,认购,0,3.6,10000,2015-06,2015/6/9 0:00:00,2015/6/24 0:00:00,2015-06-24,2015-06-25,0.0799,实物资产,退市,
