,date,pre_close,open,high,low,close,volume,amt,ptmtradeday,ptmday,delta,gamma,vega,theta,rho,us_impliedvol,exe_price,maint_margin,exe_ratio,wind_code,trade_coe,sec_name,option_mark_code,option_type,call_or_put,exercise_mode,exercise_price,contract_unit,limit_month,listed_date,expire_date,exercise_date,settlement_date,reference_price,settle_mode,contract_state
0,2015/2/9 0:00,非数字,0.182,0.2029,0.1699,0.1826,2501,4712265,28,45,0.681703937,0.980781968,0.002887747,-0.580620121,0.001649134,0.311986487,2.2,4623.2,10000,10000001,510050C1503M02200,50ETF购2015年3月2.20,510050.SH,ETF期权,1,欧式,2.2,10000,Mar-15,2015/2/9 0:00,2015/3/25 0:00,2015/3/25,2015/3/26,0.1812,实物资产,退市
1,2015/2/10 0:00,0.1826,0.1856,0.2144,0.18,0.2072,1842,3744873,27,44,0.719062927,0.921612045,0.002741571,-0.568603653,0.001716777,0.2985854,2.2,4914.8,10000,10000001,510050C1503M02200,50ETF购2015年3月2.20,510050.SH,ETF期权,1,欧式,2.2,10000,Mar-15,2015/2/9 0:00,2015/3/25 0:00,2015/3/25,2015/3/26,0.1812,实物资产,退市
2,2015/2/11 0:00,0.2072,0.2083,0.2195,0.2028,0.2107,1999,4231181,26,43,0.730739406,0.909294541,0.002665761,-0.566981096,0.001710591,0.278593616,2.2,4963.0,10000,10000001,510050C1503M02200,50ETF购2015年3月2.20,510050.SH,ETF期权,1,欧式,2.2,10000,Mar-15,2015/2/9 0:00,2015/3/25 0:00,2015/3/25,2015/3/26,0.1812,实物资产,退市
3,2015/2/12 0:00,0.2107,0.2141,0.2143,0.1915,0.2109,2334,4804803,25,42,0.736079014,0.909703375,0.002611674,-0.569109422,0.001685937,0.267389429,2.2,4969.8,10000,10000001,510050C1503M02200,50ETF购2015年3月2.20,510050.SH,ETF期权,1,欧式,2.2,10000,Mar-15,2015/2/9 0:00,2015/3/25 0:00,2015/3/25,2015/3/26,0.1812,实物资产,退市
4,2015/2/13 0:00,0.2109,0.213,0.2459,0.209,0.209,2066,4604396,24,41,0.743841271,0.90759846,0.002546617,-0.567750429,0.001667243,0.232239038,2.2,4958.0,10000,10000001,510050C1503M02200,50ETF购2015年3月2.20,510050.SH,ETF期权,1,欧式,2.2,10000,Mar-15,2015/2/9 0:00,2015/3/25 0:00,2015/3/25,2015/3/26,0.1812,实物资产,退市
5,2015/2/16 0:00,0.209,0.2111,0.2219,0.2066,0.2172,1153,2450037,23,38,0.7541478,0.92559477,0.002400616,-0.576379291,0.001572422,0.273101367,2.2,5045.8,10000,10000001,510050C1503M02200,50ETF购2015年3月2.20,510050.SH,ETF期权,1,欧式,2.2,10000,Mar-15,2015/2/9 0:00,2015/3/25 0:00,2015/3/25,2015/3/26,0.1812,实物资产,退市
6,2015/2/17 0:00,0.2172,0.2226,0.2408,0.2226,0.2296,759,1778307,22,37,0.77205864,0.894910455,0.002287608,-0.565932679,0.001574066,0.26343501,2.2,5174.2,10000,10000001,510050C1503M02200,50ETF购2015年3月2.20,510050.SH,ETF期权,1,欧式,2.2,10000,Mar-15,2015/2/9 0:00,2015/3/25 0:00,2015/3/25,2015/3/26,0.1812,实物资产,退市
7,2015/2/25 0:00,0.2296,0.2235,0.225,0.1816,0.1885,815,1705437,21,29,0.75188649,1.07580013,0.002077556,-0.654267162,0.001197141,0.269146948,2.2,4720.0,10000,10000001,510050C1503M02200,50ETF购2015年3月2.20,510050.SH,ETF期权,1,欧式,2.2,10000,Mar-15,2015/2/9 0:00,2015/3/25 0:00,2015/3/25,2015/3/26,0.1812,实物资产,退市
8,2015/2/26 0:00,0.1885,0.19,0.253,0.173,0.253,1246,2747089,20,28,0.831210642,0.840068941,0.001678502,-0.563741425,0.001296698,0,2.2,5470.0,10000,10000001,510050C1503M02200,50ETF购2015年3月2.20,510050.SH,ETF期权,1,欧式,2.2,10000,Mar-15,2015/2/9 0:00,2015/3/25 0:00,2015/3/25,2015/3/26,0.1812,实物资产,退市
9,2015/2/27 0:00,0.253,0.2534,0.2739,0.2431,0.2488,873,2264841,19,27,0.82507217,0.881732357,0.001676878,-0.581649392,0.001239193,0.277202246,2.2,5423.6,10000,10000001,510050C1503M02200,50ETF购2015年3月2.20,510050.SH,ETF期权,1,欧式,2.2,10000,Mar-15,2015/2/9 0:00,2015/3/25 0:00,2015/3/25,2015/3/26,0.1812,实物资产,退市
