,call_or_put,date,ptmtradeday,k,rate,open,high,low,close,s,iv
0,call,2016-01-08,29,2.15,0.03,0.1199,0.1564,0.1048,0.1285,2.219,0.3484375
1,call,2016-01-11,28,2.15,0.02997,0.1225,0.1248,0.084,0.0867,2.125,0.4090625
2,call,2016-01-12,27,2.15,0.029775,0.0888,0.1022,0.0849,0.0869,2.131,0.4090625
3,call,2016-01-13,26,2.15,0.029436,0.0891,0.1012,0.0756,0.0766,2.112,0.4090625
4,call,2016-01-14,25,2.15,0.029279000000000003,0.073,0.0958,0.063,0.0885,2.131,0.43179687499999997
5,call,2016-01-15,24,2.15,0.029283,0.0868,0.0983,0.0535,0.0569,2.07,0.416640625
6,call,2016-01-18,23,2.15,0.029249999999999998,0.0544,0.0671,0.0514,0.054000000000000006,2.07,0.4090625
7,call,2016-01-19,22,2.15,0.029195000000000002,0.0516,0.076,0.049,0.0681,2.13,0.36359375000000005
8,call,2016-01-20,21,2.15,0.028852000000000003,0.0686,0.0689,0.0475,0.0518,2.091,0.37875000000000003
9,call,2016-01-21,20,2.15,0.028849999999999997,0.0489,0.063,0.034,0.0346,2.043,0.386328125
10,call,2016-01-22,19,2.15,0.029056000000000002,0.0366,0.0525,0.0339,0.0404,2.067,0.37875000000000003
11,call,2016-01-25,18,2.15,0.029257,0.0411,0.0425,0.0342,0.035,2.065,0.36359375000000005
12,call,2016-01-26,17,2.15,0.029363,0.0341,0.0341,0.0148,0.0157,1.958,0.42421875
13,call,2016-01-27,16,2.15,0.030063,0.0169,0.0234,0.015,0.0208,1.957,0.48484375
14,call,2016-01-28,15,2.15,0.030071,0.0189,0.0221,0.0126,0.0145,1.915,0.51515625
15,call,2016-01-29,14,2.15,0.029859,0.0141,0.0178,0.0135,0.0146,1.975,0.439375
16,call,2016-02-01,13,2.15,0.02981,0.0149,0.0155,0.0062,0.0075,1.942,0.4090625
17,call,2016-02-02,12,2.15,0.029845999999999998,0.0085,0.0107,0.0074,0.0082,1.975,0.37875000000000003
18,call,2016-02-03,11,2.15,0.029896,0.0079,0.0079,0.0048,0.0061,1.953,0.4090625
19,call,2016-02-04,10,2.15,0.029750000000000002,0.0063,0.009000000000000001,0.0056,0.0062,1.978,0.37875000000000003
20,call,2016-02-05,9,2.15,0.029679,0.0067,0.0087,0.0059,0.0066,1.968,0.439375
21,call,2016-02-15,8,2.15,0.029559000000000002,0.005,0.006,0.002,0.0023,1.949,0.37875000000000003
22,call,2016-02-16,7,2.15,0.029588,0.0023,0.0042,0.0023,0.0023,2.001,0.318125
23,call,2016-02-17,6,2.15,0.029559000000000002,0.0024,0.0028,0.001,0.0017,2.013,0.318125
24,call,2016-02-18,5,2.15,0.029508999999999997,0.0019,0.0032,0.0013,0.0016,2.011,0.318125
25,call,2016-02-19,4,2.15,0.029179,0.0014,0.0014,0.0003,0.0006,2.006,0.2575
26,call,2016-02-22,3,2.15,0.029088,0.0006,0.0025,0.0002,0.0011,2.054,0.2575
27,call,2016-02-23,2,2.15,0.028999999999999998,0.0008,0.0008,0.0001,0.0001,2.03,0.2575
28,call,2016-02-24,1,2.15,0.029037999999999998,0.0001,0.0001,0.0001,0.0001,2.039,0.2601829324868173
